,Unnamed: 0,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,NTEE_CD,Website URL,Phone
0,185,10683413,THE COUNCIL OF URBAN PROFESSIONALS INSTITUTE,% TARRUS RICHARDSON,55 EXCHANGE PL STE 405,NEW YORK,NY,10005-2036,S31,,
1,20478,133304172,INTERNATIONAL MULTIRACIAL SHARED CULTURAL ORGANIZATION,% FRANK WESTON PRESIDENT / FOUNDER,4 PARK AVENUE,NEW YORK,NY,10016-5339,S31,,
2,21387,133455415,HUB-THIRD AVE MERCHANTS DISTRICT MANAGEMENT ASSOCIATION INC,,67 SAINT NICHOLAS AVE APT 22,NEW YORK,NY,10026-2935,S30,,
3,22725,133641265,GROW AMERICA FUND INC,,633 THIRD AVE 19J,NEW YORK,NY,10017-0000,S31,,
4,24307,133842270,NEW ECONOMY PROJECT,,121 W 27TH ST STE 804,NEW YORK,NY,10001-6262,S31,,
5,25204,133944300,47TH STREET BUSINESS IMPROVEMENT DISTRICT INC,% CHAIRMAN,580 5TH AVE STE 323,NEW YORK,NY,10036-4701,S31,,
6,25232,133946529,RENAISSANCE ECONOMIC DEVELOPMENT CORPORATION,% CHRISTOPHER KUI,2 ALLEN STREET 7FL,NEW YORK,NY,10002-5302,S30,,
7,25286,133952047,NON-PROFIT ASSISTANCE CORPORATION,% WILLIAM GRINKER,22 CORTLANDT STREET 33RD FLOOR,NEW YORK,NY,10007-3131,S30,,
8,27073,134136763,BETHEL GOSPEL COMMUNITY DEVELOPMENT CORPORATION,% VINCENT WILLIAMS,1832 MADISON AVE,NEW YORK,NY,10035-2707,S31,,
9,27344,134165855,CUNY ECONOMIC DEVELOPMENT CORPORATION,,555 W 57TH ST FL 16,NEW YORK,NY,10019-2925,S31,,
10,34678,141845651,NEW YORK WOMENS CHAMBER OF COMMERCE INC,% QUENIA ABREU,1524 AMSTERDAM AVENUE,NEW YORK,NY,10031-8954,S31,,
11,47525,200774906,HESTER STREET COLLABORATIVE INC,% EVA ALLIGOOD,113 HESTER STREET,NEW YORK,NY,10002-0000,S31,,
12,48447,202264584,THE WORKING WORLD INC,% STEFANIE BARLEY,228 PARK AVENUE SOUTH 65768,NEW YORK,NY,10003-0000,S30,,
13,49267,203686339,HARLEM WATERFRONT COUNCIL INCORPORATED,% PEGGY SHEPARD,PEGGY SHEPARD 1854 AMSTERDAM AVENUE,NEW YORK,NY,10031-0000,S30,,
14,50472,205559159,NEW AMSTERDAM PUBLIC MARKETASSOCIATION INC,,40 1ST AVE APT 3I,NEW YORK,NY,10009-7633,S31,,
15,51082,208261600,TAIA PEACE FOUNDATION,% ALTMAN GREENFIELD & SELVAGGI,200 PARK AVENUE SOUTH 8TH FLOOR,NEW YORK,NY,10003-1526,S30,,
16,51260,208626874,CPIWG INC,% MARIAN TRANO,315 W 70TH ST APT 12L,NEW YORK,NY,10023-3576,S30,,
17,54773,223773177,INSTITUTE FOR QUANTITATIVE RESEARCH,% FRANK MEGALE CPA,CO JAFFE MGMT 555 8TH AVE 1902,NEW YORK,NY,10018-0000,S31,,
18,65338,273490386,NEW YORK FORUM INSTITUTE INC,% MOUND COTTON WOLLAN & GREENGRASS,C/O THE EXPERIENCE 555 MADISON AVE,NEW YORK,NY,10022-0000,S30,,
19,68131,320305260,MSDC INC,,102 WEST 116TH STREET,NEW YORK,NY,10026-2500,S30,,
20,70290,372072695,SHEOWS CARES FOUNDATION INC,,C/O 303 5TH AVENUE,NEW YORK,NY,10016-6601,S30,,
