,edo_ein,edo_name,contact,street,city,state,zip,ntee_tax_code,Website URL,phone,email
0,10683413,THE COUNCIL OF URBAN PROFESSIONALS INSTITUTE,% TARRUS RICHARDSON,55 EXCHANGE PL STE 405,NEW YORK,NY,10005-2036,S31,https://cupusa.org/,212-233-8950,info@cupusa.org
1,133304172,INTERNATIONAL MULTIRACIAL SHARED CULTURAL ORGANIZATION,% FRANK WESTON PRESIDENT / FOUNDER,4 PARK AVENUE,NEW YORK,NY,10016-5339,S31,http://www.imscoglobal.org/,,westimsco@aol.com
2,133455415,HUB-THIRD AVE MERCHANTS DISTRICT MANAGEMENT ASSOCIATION INC,,67 SAINT NICHOLAS AVE APT 22,NEW YORK,NY,10026-2935,S30,https://www.guidestar.org/profile/13-3455415,,
3,133641265,GROW AMERICA FUND INC,,633 THIRD AVE 19J,NEW YORK,NY,10017-0000,S31,https://growamerica.org/grow-america-fund/,800-501-7489,
4,133842270,NEW ECONOMY PROJECT,,121 W 27TH ST STE 804,NEW YORK,NY,10001-6262,S31,https://www.neweconomynyc.org/,,
5,133944300,47TH STREET BUSINESS IMPROVEMENT DISTRICT INC,% CHAIRMAN,580 5TH AVE STE 323,NEW YORK,NY,10036-4701,S31,https://comptroller.nyc.gov/reports/follow-up-audit-of-the-financial-and-operating-practices-of-the-47th-street-business-improvement-district/,,
6,133946529,RENAISSANCE ECONOMIC DEVELOPMENT CORPORATION,% CHRISTOPHER KUI,2 ALLEN STREET 7FL,NEW YORK,NY,10002-5302,S30,https://www.renaissancesbs.org/,(202) 622-1160,crcomplaints@treasury.gov
7,133952047,NON-PROFIT ASSISTANCE CORPORATION,% WILLIAM GRINKER,22 CORTLANDT STREET 33RD FLOOR,NEW YORK,NY,10007-3131,S30,https://www.idealist.org/es/consultor/c36ecde0ec75433e99d967cce59e0abc-non-profit-assistance-corp-miami,,
8,134136763,BETHEL GOSPEL COMMUNITY DEVELOPMENT CORPORATION,% VINCENT WILLIAMS,1832 MADISON AVE,NEW YORK,NY,10035-2707,S31,https://www.bethelga.org/,,
9,134165855,CUNY ECONOMIC DEVELOPMENT CORPORATION,,555 W 57TH ST FL 16,NEW YORK,NY,10019-2925,S31,https://tv.cuny.edu/show/eldridgeandco/PR1010346,,Erma.Tacopino@csi.cuny.edu.Falta
10,141845651,NEW YORK WOMENS CHAMBER OF COMMERCE INC,% QUENIA ABREU,1524 AMSTERDAM AVENUE,NEW YORK,NY,10031-8954,S31,https://www.nywcc.org/,,
11,200774906,HESTER STREET COLLABORATIVE INC,% EVA ALLIGOOD,113 HESTER STREET,NEW YORK,NY,10002-0000,S31,https://hesterstreet.org/,917.265.8591,info@hesterstreet.org.Hester
12,202264584,THE WORKING WORLD INC,% STEFANIE BARLEY,228 PARK AVENUE SOUTH 65768,NEW YORK,NY,10003-0000,S30,https://www.theworkingworld.org/us/,(202) 622-1160,crcomplaints@treasury.gov
13,203686339,HARLEM WATERFRONT COUNCIL INCORPORATED,% PEGGY SHEPARD,PEGGY SHEPARD 1854 AMSTERDAM AVENUE,NEW YORK,NY,10031-0000,S30,https://community.weact.org/west-harlem-waterfront-park,,
14,205559159,NEW AMSTERDAM PUBLIC MARKETASSOCIATION INC,,40 1ST AVE APT 3I,NEW YORK,NY,10009-7633,S31,http://www.newamsterdammarket.org/,,
15,208261600,TAIA PEACE FOUNDATION,% ALTMAN GREENFIELD & SELVAGGI,200 PARK AVENUE SOUTH 8TH FLOOR,NEW YORK,NY,10003-1526,S30,http://www.taiapeace.org/,,
16,208626874,CPIWG INC,% MARIAN TRANO,315 W 70TH ST APT 12L,NEW YORK,NY,10023-3576,S30,https://www.charitynavigator.org/ein/208626874,212-867-5478,
17,223773177,INSTITUTE FOR QUANTITATIVE RESEARCH,% FRANK MEGALE CPA,CO JAFFE MGMT 555 8TH AVE 1902,NEW YORK,NY,10018-0000,S31,https://www.q-group.org/,212.744.6825,help@iq.harvard
18,273490386,NEW YORK FORUM INSTITUTE INC,% MOUND COTTON WOLLAN & GREENGRASS,C/O THE EXPERIENCE 555 MADISON AVE,NEW YORK,NY,10022-0000,S30,https://nyforuminstitute.richardattiasassociates.com/,,
19,320305260,MSDC INC,,102 WEST 116TH STREET,NEW YORK,NY,10026-2500,S30,https://msdcglobal.com/,,info@midstatesmsdc.org
20,372072695,SHEOWS CARES FOUNDATION INC,,C/O 303 5TH AVENUE,NEW YORK,NY,10016-6601,S30,https://sheowscaresfoundation.org/,,info@sheowscaresfoundation.org
21,411800192,THE COMMUNITY DEVELOPMENT VENTURE CAPITAL ALLIANCE,% JUDY BURTON,475 RIVERSIDE DR STE 1264,NEW YORK,NY,10115-0052,S31,https://cdvca.org/,,cdvca@cdvca.org
22,421650478,CHINATOWN PARTNERSHIP LOCAL DEVELOPMENT CORPORATION,,217 PARK ROW 2FL9,NEW YORK,NY,10038-1101,S30,http://www.chinatownpartnership.org/,,
23,450722514,WEST HARLEM DEVELOPMENT CORPORATION,,423 W 127TH ST SUITE A,NEW YORK,NY,10027-2561,S30,https://westharlemdc.org/,(646) 476-3394,info@westharlemdc.org
24,453190226,HARDESTY RENAISSANCE ECONOMIC DEVELOPMENT CORPORATION,% ASIAN AMERICANS FOR EQUALITY,2 ALLEN STREET 7TH FLOOR,NEW YORK,NY,10002-5302,S30,https://www.mced.mo.gov/wp-content/uploads/2016/11/Hardesty-Project-Overview.pdf,5734156394,
25,455484405,DEMOCRACYATWORK INFO,% RICHARD WOLFF,523 EAST 14TH STREET APT 1W,NEW YORK,NY,10009-2927,S30,https://www.democracyatwork.info/,,
26,463790675,OLD SEAPORT ALLIANCE,% WHITNEY BARRAT,CO COWGIRL SEAHORSE 259 FRONT ST,NEW YORK,NY,10038-0000,S30,https://mblm.com/our-work/old-seaport-new-york/,,
27,464335287,INTERVAL PROJECTS INC,,100 WEST 141ST STREET APT 37,NEW YORK,NY,10030-0000,S31,https://interval-projects.org/,,hello@interval-projects.org
28,471044631,SOHO BROAADWAY DISTRICT MANAGEMENT ASSOCIATION,% NEWMARK GRUBB,594 BROADWAY RM 1107,NEW YORK,NY,10012-3289,S30,https://sohobroadway.org/,,
29,471247857,HUDSON YARDS HELLS KITCHEN BUSINESS IMPROVEMENT DISTRICT INC,,412 WEST 42ND STREET 3 FL,NEW YORK,NY,10036-6809,S30,https://www.hyhkalliance.org/,,info@hyhkalliance.org.HUDSON
30,471562167,NYC NEIGHBORHOOD CAPITAL CORPORATION,% GENERAL COUNSEL,ONE LIBERTY PLAZA,NEW YORK,NY,10006-1404,S30,https://edc.nyc/nycncc,212.619. 5000,sig@edc.nyc
31,472847445,URBAN MANUFACTURING ALLIANCE,,1216 BROADWAY,NEW YORK,NY,10001-4483,S31,https://www.urbanmfg.org/,,katys@urbanmfg.org.Contact
32,474026240,BERRYBIZZY HUMAN BEING INC,,556 W 158TH ST UNIT 321792,NEW YORK,NY,10032-9506,S31,https://www.volunteermatch.org/search/org1052948.jsp,,
33,522228170,POSITIVE PLANET US CORP,% INGRID GONZALEZ,136 MADISON AVENUE 6TH FLOOR,NEW YORK,NY,10016-6795,S31,https://www.positiveplanetus.org/,,
34,593814814,TRUFUND FINANCIAL SERVICES INC,% KENNETH HARVEY,39 WEST 37TH STREET 7TH FLOOR,NEW YORK,NY,10018-0000,S30,https://www.trufund.org/,(202) 622-1160,crcomplaints@treasury.gov
35,810788036,MEATPACKING DISTRICT MANAGEMENT ASSOCIATION INC,,32 GANSEVOORT STREET,NEW YORK,NY,10014-1669,S30,https://meatpacking-district.com/district/bid,,INFO@MEATPACKING-DISTRICT.COM
36,811983565,BREAKOUT FOUNDATION INC,% GRAHAM COHEN,224 W 35TH ST STE 500 UNIT 512,NEW YORK,NY,10001-2538,S31,https://www.breakout.today/,,
37,833091628,THE UMMAH GROUP INC,% ASKIA MUHAMMAD,168-30 127 AVENUE,NEW YORK,NY,10027-0000,S30,https://www.charitynavigator.org/ein/833091628,,
38,834301753,LIN CHARITABLE FOUNDATION,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30,https://fconline.foundationcenter.org/fdo-grantmaker-profile?key=LINF006,4088062788,
39,834324097,EVEREST ENTERPRISERS INC,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30,https://everestenterprises.net/,9820062128,everest.ent1968@gmail.com
40,834563943,SKYLAR VENTURES INCORPORATED,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30,https://www.skystarventures.com/,,
41,834645510,FRANK AND SUSIE LIN FOUNDATION,% NELSON LIN,75 W END AVE APT P2G,NEW YORK,NY,10023-7868,S30,"https://www.causeiq.com/organizations/frank-and-susie-lin-foundation,834645510/",(917) 887-5840,
42,842283500,TRANSFORM FINANCE INC,% CURTIS LYON - SECRETARY & TREASUR,188 GRAND ST APT 2,NEW YORK,NY,10013-3752,S30,https://www.transformfinance.org/,,
43,842999033,ACHIEVMENT EXPLORERS INC,% PAUL MARTIN,1825 PARK AVENUE,NEW YORK,NY,10035-1932,S30,https://www.trueachievements.com/a335931/explorers-i-achievement,,
44,844058366,FIVE BOROUGH JOBS CAMPAIGN,% RANDOLPH PEERS,570 LEXINGTON AVE FL 2,NEW YORK,NY,10022-6736,S30,https://www.fiveboroughjobs.com/,,
45,851319291,PUBLIC MONEY ACTION LTD,,450 RIVERSIDE DR,NEW YORK,NY,10027-6820,S30,https://publicmoneyaction.org/,,
46,852402420,DOROTHY DAY HOUSING DEVELOPMENT FUND COMPANY INC,% BROADWAY HOUSING COMMUNITIES INC,583 RIVERSIDE DRIVE 7TH FL,NEW YORK,NY,10031-8346,S31,https://www.broadwayhousing.org/properties,(901) 726-6760,
47,853122376,NATIONAL BASKETBALL ASSOCIATION FOUNDATION,% BRIAN MCDERMOTT,645 FIFTH AVENUE,NEW YORK,NY,10022-5910,S31,https://nbafoundation.nba.com/,,grants@nba.com
48,853169615,GLOBAL EQUITY MOVEMENT FOUNDATION,% TIMOTHY CORPREW,PO BOX 3281,NEW YORK,NY,10017-0000,S30,https://www.globalequitymovement.org/,,
49,854302409,FOUNDERS IMPACT NEW ENTERPRISE,% PAUL P MARTIN,140 WEST 31ST STREET,NEW YORK,NY,10001-3411,S30,https://projects.propublica.org/nonprofits/organizations/854302409,,
50,861092812,PROMETHEUS INSTITUTE FOR SUSTAINABLE DEVELOPMENT,% TRAVIS BRADFORD,520 W 112TH ST APT 16A,NEW YORK,NY,10025-1604,S30,https://prometheus.org/,646.247.5605,
51,861186002,WOMEN ENTREPRENEURS INTERNATIONAL,% KIMBERLEY BUENO,156 BEEKMAN ST,NEW YORK,NY,10038-2051,S30,https://www.instagram.com/womanentrepreneurintl/,,
52,862253352,VILLAGE-CHELSEA COMMUNITY DEVELOPMENT CORPORATION,% MARIA DIAZ,PO BOX 1116,NEW YORK,NY,10113-1116,S30,https://villagechelsea.com/about-us,,
53,863784520,PEAKS ISLAND INFORMATION INC,% ALICIA KERSHAW,95 FRANKLIN ST APT 4,NEW YORK,NY,10013-3471,S31,https://peaksisland.info/,,
