,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,NTEE_CD
170,10676579,UPPER UNION DISTRICT MANAGEMENT ASSOCIATION INC,% CHRIS DICOCCO,1598 UNION ST,SCHENECTADY,NY,12309-0000,S30
185,10683413,THE COUNCIL OF URBAN PROFESSIONALS INSTITUTE,% TARRUS RICHARDSON,55 EXCHANGE PL STE 405,NEW YORK,NY,10005-2036,S31
258,10735369,YONKERS SOUTH BROADWAY DISTRICT MANAGEMENT ASSOCIATION INC,% DENNIS MONASEBIAN,8 SAINT ANDREWS PL,YONKERS,NY,10705-3138,S31
481,11705312,TCA VISION 21 INC,% HUGH KEARNEY,PO BOX 57,SIDNEY,NY,13838-0057,S32
590,20586300,EMPIRE ZONE OF MONROE COUNTY INC,% GATES & ADAMS,50 W MAIN ST 8100 CITYPLACE,ROCHESTER,NY,14614-1293,S31
1429,43845400,THANKFUL COMMUNITY DEVELOPMENT CORPORATION,% TOMMIE L BABBS,197 SUMNER PL,BUFFALO,NY,14211-2519,S31
1477,50533961,DISTRICT MANAGEMENT ASSOCIATION OF THE CROUSE MARSHALL BID,% JERRY DALLAS,115 WEST FAYETTE STREET,SYRACUSE,NY,13202-0000,S30
1537,50577881,CATSKILL DEVELOPMENT FOUNDATION INC,% MARY BETH SILANO,5 1/2 MAIN ST,DELHI,NY,13753-1109,S30
1898,61401412,DOWNTOWN MIDDLETOWN DISTRICT MANAGEMENT ASSOCIATION INC,,19 SOUTH ST,MIDDLETOWN,NY,10940-5801,S31
2346,61658545,COHOES LOCAL DEVELOPMENT CORPORATION,% JOHN T MCDONALD III,97 MOHAWK STREET,COHOES,NY,12047-2961,S30
2578,100000080,GREATER ROCHESTER ENTERPRISE INC,% TRINA LANG,100 CHESTNUT ST STE 1910,ROCHESTER,NY,14604-2410,S30
2579,100000085,GREATER ROCHESTER ENTERPRISE FOUNDATION INC,,100 CHESTNUT ST STE 1910,ROCHESTER,NY,14604-2410,S31
5151,112532563,ALLEN A M E HOUSING DEVELOPMENT FUND CORPORATION,,11031 MERRICK BLVD,QUEENS,NY,11433-3440,S31
6299,112688920,NHS DEVELOPMENT CORPORATION,,89-70 162ND STRET,JAMAICA,NY,11432-0000,S30
7963,112977052,KINGS HIGHWAY DISTRICT MANAGEMENT ASSOCIATION INC,,905 KINGS HWY,BROOKLYN,NY,11223-2336,S30
8669,113059018,LONG ISLAND HIGH TECHNOLOGY INCUBATOR INC,,25 HEALTH SCIENCES DRIVE,STONY BROOK,NY,11790-0000,S30
10445,113248243,HUNTERS POINT COMMUNITY COALITION,% THOMAS PAINO,1030 46TH RD,LONG IS CITY,NY,11101-5320,S31
10448,113248819,RIVERHEAD BUSINESS IMPROVEMENT DISTRICT MANAGEMENT ASSOC INC,,4 W 2ND ST,RIVERHEAD,NY,11901-2702,S31
12067,113415840,LONG ISLAND PARTNERSHIP COMMUNITY DEVELOPMENT CORPORATION,% PETER ELKOWITZ,180 OSER AVE STE 800,HAUPPAUGE,NY,11788-3737,S31
12194,113427959,GMDC TWO INC,% GREENPOINT MANUFACTURING & DEVELO,1155 MANHATTAN AVENUE,BROOKLYN,NY,11222-6102,S31
12514,113458791,RESTORATION CAPITAL FUND INC,,1368 FULTON STREET,BROOKLYN,NY,11216-5372,S30
12571,113463646,AMOS WORLD MISSION FOUNDATION,% ROGERS & CO CPAS PC,14-14 UTOPIA PARKWAY,BEECHHURST,NY,11357-0000,S31
13497,113546930,CAMBA ECONOMIC DEVELOPMENT CORPORATION,% JOANNE OPLUSTIL,1720 CHURCH AVE,BROOKLYN,NY,11226-2630,S30
14042,113600385,DOWNSTATE TECHNOLOGY CENTER INC,,450 CLARKSON AVE BOX 65,BROOKLYN,NY,11203-2012,S30
14110,113613094,LA FUERZA UNIDA COMMUNITY DEVELOPMENT CORPORATION,% PASCUAL BLANCO,34 MUTTONTOWN LN,EAST NORWICH,NY,11732-1408,S30
14221,113623349,OYSTER BAY MAIN STREET ASSOCIATION,,PO BOX 116,OYSTER BAY,NY,11771-0116,S30
14593,113819812,CAPITAL DISTRICT BLACK CHAMBER OF COMMERCE,% RONALD QUARTIMON,90 STATE STREET 7TH FLOOR,ALBANY,NY,12207-1716,S31
14594,113820556,SAVE SAG HARBOR INC,% SETH GROSSMAN,PO BOX 775,SAG HARBOR,NY,11963-0019,S30
15665,116448577,JOHN T LAADT TRUST 101394,,PO BOX 666,REMSENBURG,NY,11960-0666,S30
16696,131786203,PELHAM-CHAMBER OF COMMERCE INC,% ROZYCKI,535 STELLAR AVE,PELHAM,NY,10803-2424,S30
17926,132875743,STRUCTURED EMPLOYMENT ECONOMIC DEVELOPMENT CORPORATION,% VICKY GATELL,311 E 175TH ST,BRONX,NY,10457-5859,S30
18311,132943228,SOBRO LOCAL DEVELOPMENT CORPORATION,% KAREN MCGUINNESS,555 BERGEN AVENUE 3RD FLOOR,BRONX,NY,10455-1368,S31
20478,133304172,INTERNATIONAL MULTIRACIAL SHARED CULTURAL ORGANIZATION,% FRANK WESTON PRESIDENT / FOUNDER,4 PARK AVENUE,NEW YORK,NY,10016-5339,S31
21387,133455415,HUB-THIRD AVE MERCHANTS DISTRICT MANAGEMENT ASSOCIATION INC,,67 SAINT NICHOLAS AVE APT 22,NEW YORK,NY,10026-2935,S30
21497,133475185,THE GREATER HUNTS POINT ECONOMIC DEVELOPMENT CORPORATION,,1231 LAFAYETTE AVE SUB BASEMENT,BRONX,NY,10474-0000,S31
22725,133641265,GROW AMERICA FUND INC,,633 THIRD AVE 19J,NEW YORK,NY,10017-0000,S31
23771,133776242,CHURCH ALIVE DEVELOPMENT CORPORATION,% TIMOTHY BIRKETT,16 MOREHOUSE RD,POUGHKEEPSIE,NY,12603-4010,S31
24307,133842270,NEW ECONOMY PROJECT,,121 W 27TH ST STE 804,NEW YORK,NY,10001-6262,S31
25043,133927797,AUDUBON PARTNERSHIP FOR ECONOMIC DEVELOPMENT LOCAL DEV CORPORATION,% STEVE KADIN,311 EAST 175 STREET,BRONX,NY,10457-0000,S31
25204,133944300,47TH STREET BUSINESS IMPROVEMENT DISTRICT INC,% CHAIRMAN,580 5TH AVE STE 323,NEW YORK,NY,10036-4701,S31
25232,133946529,RENAISSANCE ECONOMIC DEVELOPMENT CORPORATION,% CHRISTOPHER KUI,2 ALLEN STREET 7FL,NEW YORK,NY,10002-5302,S30
25286,133952047,NON-PROFIT ASSISTANCE CORPORATION,% WILLIAM GRINKER,22 CORTLANDT STREET 33RD FLOOR,NEW YORK,NY,10007-3131,S30
25952,134019316,WHITE PLAINS DOWNTOWN DISTRICT MANAGEMENT ASSOCIATION INC,% KEVIN NUNN,235 MAMARONECK AVE STE 200,WHITE PLAINS,NY,10605-1317,S30
